sample,time,window,precision,modulation,band,power,payload,tx2rxdone
265,2018-06-01 19:12:19.852711,0.2,2.0000200002000023e-06,6,34,20,63,0.07032070320703208
266,2018-06-01 19:12:20.769154,0.02,2.0002000200020003e-06,9,39,19,110,0.00519051905190519
267,2018-06-01 19:12:21.992084,0.2,2.0000200002000023e-06,5,47,5,24,0.06465664656646568
268,2018-06-01 19:12:22.903408,0.01,1.0001000100010001e-06,8,28,0,33,0.0032533253325332536
269,2018-06-01 19:12:24.180182,0.4,4.000040000400005e-06,6,44,8,118,0.11644116441164414
270,2018-06-01 19:12:25.112982,0.02,2.0002000200020003e-06,8,38,22,58,0.004852485248524853
271,2018-06-01 19:12:26.130058,0.1,1.0000100001000012e-06,6,47,10,27,0.039599395993959945
272,2018-06-01 19:12:46.677631,10.0,2.00000040000008e-06,1,26,1,86,2.017364403472881
273,2018-06-01 19:12:47.618750,0.01,1.0001000100010001e-06,8,24,3,55,0.0046604660466046605
274,2018-06-01 19:12:48.795593,0.4,4.000040000400005e-06,3,38,20,5,0.13544135441354416
275,2018-06-01 19:12:53.056538,2.0,2.000002000002e-06,2,1,3,76,0.8445528445528445
276,2018-06-01 19:13:13.569481,10.0,2.00000040000008e-06,0,0,1,94,3.8728287745657552
