sample,time,window,precision,modulation,band,measured
260,2018-06-14 08:59:43.532240,0.0002,2.0000200002000022e-09,3,35,6.721067210672107e-05
261,2018-06-14 08:59:44.406863,0.0002,2.0000200002000022e-09,4,12,6.721067210672107e-05
262,2018-06-14 08:59:45.276117,0.0002,2.0000200002000022e-09,0,0,6.727267272672727e-05
263,2018-06-14 08:59:46.109130,0.0002,2.0000200002000022e-09,1,1,6.733467334673348e-05
264,2018-06-14 08:59:46.935202,0.0002,2.0000200002000022e-09,2,1,6.731467314673147e-05
265,2018-06-14 08:59:47.809519,0.0002,2.0000200002000022e-09,4,5,6.721067210672107e-05
266,2018-06-14 08:59:48.736711,0.0002,2.0000200002000022e-09,5,24,6.725267252672528e-05
267,2018-06-14 08:59:49.624875,0.0002,2.0000200002000022e-09,7,39,6.721067210672107e-05
268,2018-06-14 08:59:50.459345,0.0002,2.0000200002000022e-09,4,41,6.993869938699388e-05
269,2018-06-14 08:59:51.377753,0.0002,2.0000200002000022e-09,5,21,6.725067250672508e-05
270,2018-06-14 08:59:52.326737,0.0002,2.0000200002000022e-09,4,20,6.720867208672087e-05
271,2018-06-14 08:59:53.274818,0.0002,2.0000200002000022e-09,0,51,6.994069940699408e-05
272,2018-06-14 08:59:54.170844,0.0002,2.0000200002000022e-09,7,2,6.733667336673368e-05
273,2018-06-14 08:59:55.102727,0.0002,2.0000200002000022e-09,6,51,6.721067210672107e-05
274,2018-06-14 08:59:56.041467,0.0002,2.0000200002000022e-09,0,49,6.733467334673348e-05
275,2018-06-14 08:59:56.943008,0.0002,2.0000200002000022e-09,2,36,6.725267252672528e-05
276,2018-06-14 08:59:57.926922,0.0002,2.0000200002000022e-09,0,28,6.994069940699408e-05
