sample,time,window,precision,modulation,band,react,finish
158,2018-06-07 13:15:02.791348,0.0001,1.001001001001001e-07,2,38,6.9069069069069065e-06,5.915915915915916e-05
159,2018-06-07 13:15:04.353195,0.0001,1.001001001001001e-07,0,36,6.9069069069069065e-06,5.915915915915916e-05
160,2018-06-07 13:15:05.216710,0.0001,1.001001001001001e-07,5,29,6.806806806806807e-06,5.905905905905906e-05
161,2018-06-07 13:15:06.268706,0.0001,1.001001001001001e-07,2,49,6.806806806806807e-06,5.905905905905906e-05
162,2018-06-07 13:15:07.122322,0.0001,1.001001001001001e-07,6,22,6.806806806806807e-06,5.905905905905906e-05
163,2018-06-07 13:15:07.965267,0.0001,1.001001001001001e-07,6,1,6.806806806806807e-06,5.905905905905906e-05
164,2018-06-07 13:15:08.799619,0.0001,1.001001001001001e-07,7,2,6.806806806806807e-06,5.915915915915916e-05
165,2018-06-07 13:15:09.638221,0.0001,1.001001001001001e-07,6,3,6.806806806806807e-06,5.915915915915916e-05
166,2018-06-07 13:15:10.481754,0.0001,1.001001001001001e-07,8,34,6.806806806806807e-06,5.915915915915916e-05
167,2018-06-07 13:15:11.537851,0.0001,1.001001001001001e-07,2,3,6.9069069069069065e-06,5.915915915915916e-05
168,2018-06-07 13:15:12.794399,0.0001,1.001001001001001e-07,1,13,6.806806806806807e-06,5.905905905905906e-05
169,2018-06-07 13:15:13.654954,0.0001,1.001001001001001e-07,5,5,6.806806806806807e-06,5.905905905905906e-05
170,2018-06-07 13:15:14.525392,0.0001,1.001001001001001e-07,5,11,6.806806806806807e-06,5.915915915915916e-05
171,2018-06-07 13:15:15.585057,0.0001,1.001001001001001e-07,2,50,6.806806806806807e-06,5.905905905905906e-05
172,2018-06-07 13:15:16.434434,0.0001,1.001001001001001e-07,5,3,6.806806806806807e-06,5.915915915915916e-05
173,2018-06-07 13:15:17.298985,0.0001,1.001001001001001e-07,5,9,6.9069069069069065e-06,5.915915915915916e-05
174,2018-06-07 13:15:18.157018,0.0001,1.001001001001001e-07,7,10,6.806806806806807e-06,5.915915915915916e-05
175,2018-06-07 13:15:19.322944,0.0001,1.001001001001001e-07,1,43,6.806806806806807e-06,5.915915915915916e-05
176,2018-06-07 13:15:20.176304,0.0001,1.001001001001001e-07,5,39,6.9069069069069065e-06,5.915915915915916e-05
177,2018-06-07 13:15:21.019868,0.0001,1.001001001001001e-07,5,50,6.9069069069069065e-06,5.915915915915916e-05
178,2018-06-07 13:15:21.883205,0.0001,1.001001001001001e-07,4,30,6.9069069069069065e-06,5.915915915915916e-05
179,2018-06-07 13:15:22.747326,0.0001,1.001001001001001e-07,5,47,6.9069069069069065e-06,5.915915915915916e-05
180,2018-06-07 13:15:23.604976,0.0001,1.001001001001001e-07,7,36,6.806806806806807e-06,5.915915915915916e-05
181,2018-06-07 13:15:24.451995,0.0001,1.001001001001001e-07,7,0,6.9069069069069065e-06,5.915915915915916e-05
182,2018-06-07 13:15:25.527951,0.0001,1.001001001001001e-07,2,30,6.806806806806807e-06,5.915915915915916e-05
183,2018-06-07 13:15:26.367244,0.0001,1.001001001001001e-07,8,15,6.9069069069069065e-06,5.915915915915916e-05
184,2018-06-07 13:15:27.220599,0.0001,1.001001001001001e-07,4,14,6.9069069069069065e-06,5.915915915915916e-05
185,2018-06-07 13:15:28.063177,0.0001,1.001001001001001e-07,8,25,6.806806806806807e-06,5.905905905905906e-05
186,2018-06-07 13:15:29.330478,0.0001,1.001001001001001e-07,1,41,6.9069069069069065e-06,5.915915915915916e-05
187,2018-06-07 13:15:30.585652,0.0001,1.001001001001001e-07,1,21,6.806806806806807e-06,5.915915915915916e-05
188,2018-06-07 13:15:31.855541,0.0001,1.001001001001001e-07,1,30,6.806806806806807e-06,5.905905905905906e-05
189,2018-06-07 13:15:32.912149,0.0001,1.001001001001001e-07,2,47,6.806806806806807e-06,5.915915915915916e-05
190,2018-06-07 13:15:33.758090,0.0001,1.001001001001001e-07,8,14,6.806806806806807e-06,5.915915915915916e-05
191,2018-06-07 13:15:34.608502,0.0001,1.001001001001001e-07,6,7,6.9069069069069065e-06,5.915915915915916e-05
