sample,time,window,precision,offset,measured
296,2018-06-07 14:53:31.422880,3.9999999999999996e-05,4.000040000400004e-10,125,1.7660976609766097e-05
297,2018-06-07 14:53:33.677670,0.0001,1.0000010000010001e-10,310,2.034862034862035e-05
298,2018-06-07 14:53:36.136700,0.0002,2.0000020000020002e-10,465,6.0077460077460085e-05
299,2018-06-07 14:53:37.084544,3.9999999999999996e-05,4.000040000400004e-10,130,1.8259382593825937e-05
300,2018-06-07 14:53:39.214018,0.0002,2.0000020000020002e-10,502,6.473946473946474e-05
301,2018-06-07 14:53:41.493559,0.0002,2.0000020000020002e-10,416,5.397325397325398e-05
302,2018-06-07 14:53:43.836064,0.0001,1.0000010000010001e-10,332,2.172072172072172e-05
303,2018-06-07 14:53:45.997814,0.0002,2.0000020000020002e-10,440,5.696165696165697e-05
304,2018-06-07 14:53:48.162480,0.0002,2.0000020000020002e-10,500,6.447966447966448e-05
305,2018-06-07 14:53:50.334983,0.0001,1.0000010000010001e-10,316,2.0721520721520723e-05
306,2018-06-07 14:53:52.368957,0.0002,2.0000020000020002e-10,604,7.745787745787746e-05
307,2018-06-07 14:53:54.537241,0.0001,1.0000010000010001e-10,349,2.2823122823122825e-05
308,2018-06-07 14:53:56.767425,0.0002,2.0000020000020002e-10,783,9.983989983989985e-05
309,2018-06-07 14:53:58.889273,0.0002,2.0000020000020002e-10,682,8.726608726608727e-05
310,2018-06-07 14:54:01.273841,0.0002,2.0000020000020002e-10,534,6.874886874886875e-05
311,2018-06-07 14:54:03.410830,0.0002,2.0000020000020002e-10,563,7.23008723008723e-05
312,2018-06-07 14:54:05.406510,0.0001,1.0000010000010001e-10,301,1.978741978741979e-05
313,2018-06-07 14:54:07.476465,0.0002,2.0000020000020002e-10,714,9.121389121389121e-05
314,2018-06-07 14:54:09.550457,0.0002,2.0000020000020002e-10,671,8.57980857980858e-05
315,2018-06-07 14:54:11.750075,0.0001,1.0000010000010001e-10,251,1.668921668921669e-05
316,2018-06-07 14:54:13.617827,0.0001,1.0000010000010001e-10,381,2.481002481002481e-05
317,2018-06-07 14:54:15.602464,0.0001,1.0000010000010001e-10,266,1.760731760731761e-05
318,2018-06-07 14:54:17.679067,0.0001,1.0000010000010001e-10,232,1.5473515473515474e-05
319,2018-06-07 14:54:19.904184,0.0002,2.0000020000020002e-10,639,8.180528180528181e-05
320,2018-06-07 14:54:22.086851,0.0002,2.0000020000020002e-10,715,9.127569127569128e-05
321,2018-06-07 14:54:23.072278,3.9999999999999996e-05,4.000040000400004e-10,126,1.771217712177122e-05
322,2018-06-07 14:54:25.265453,0.0002,2.0000020000020002e-10,774,9.871049871049871e-05
323,2018-06-07 14:54:26.202286,3.9999999999999996e-05,4.000040000400004e-10,157,2.159661596615966e-05
324,2018-06-07 14:54:28.486585,0.0002,2.0000020000020002e-10,555,7.137567137567138e-05
325,2018-06-07 14:54:30.850110,0.0001,1.0000010000010001e-10,282,1.863091863091863e-05
326,2018-06-07 14:54:33.085875,0.0002,2.0000020000020002e-10,613,7.857867857867859e-05
327,2018-06-07 14:54:35.196685,0.0001,1.0000010000010001e-10,301,1.9798919798919802e-05
328,2018-06-07 14:54:37.401156,0.0002,2.0000020000020002e-10,673,8.602888602888604e-05
329,2018-06-07 14:54:39.595714,0.0002,2.0000020000020002e-10,616,7.892667892667894e-05
330,2018-06-07 14:54:41.676791,0.0002,2.0000020000020002e-10,584,7.497867497867499e-05
331,2018-06-07 14:54:43.889795,0.0002,2.0000020000020002e-10,685,8.750128750128751e-05
332,2018-06-07 14:54:46.044085,0.0002,2.0000020000020002e-10,454,5.867205867205868e-05
333,2018-06-07 14:54:48.202428,0.0001,1.0000010000010001e-10,225,1.5074215074215075e-05
334,2018-06-07 14:54:50.424411,0.0001,1.0000010000010001e-10,286,1.9083319083319086e-05
335,2018-06-07 14:54:52.827470,0.0002,2.0000020000020002e-10,525,6.751406751406752e-05
336,2018-06-07 14:54:55.034326,0.0001,1.0000010000010001e-10,300,1.9726619726619726e-05
337,2018-06-07 14:54:57.344387,0.0001,1.0000010000010001e-10,293,1.9293519293519294e-05
338,2018-06-07 14:54:59.565178,0.0002,2.0000020000020002e-10,401,5.2021852021852026e-05
339,2018-06-07 14:55:01.682150,0.0002,2.0000020000020002e-10,462,6.567526567526568e-05
340,2018-06-07 14:55:02.656039,3.9999999999999996e-05,4.000040000400004e-10,145,2.0087400874008738e-05
341,2018-06-07 14:55:04.988539,0.0002,2.0000020000020002e-10,732,9.350389350389352e-05
342,2018-06-07 14:55:05.925699,3.9999999999999996e-05,4.000040000400004e-10,115,1.6342963429634296e-05
