sample,time,window,precision,modulation,band,preamble,offset,valid
281,2018-06-14 17:17:50.244294,0.1,1.0001000100010001e-05,7,10,3,1793,True
282,2018-06-14 17:17:51.676597,0.1,1.0001000100010001e-05,6,13,3,75016,True
283,2018-06-14 17:17:53.443004,0.4,4.0004000400040005e-05,3,32,10,883880,False
284,2018-06-14 17:17:55.179470,0.4,4.0004000400040005e-05,3,14,9,583497,True
285,2018-06-14 17:17:56.919212,0.4,4.0004000400040005e-05,3,26,8,895968,False
286,2018-06-14 17:18:00.224422,1.0,1.000010000100001e-05,2,6,9,1489140,True
287,2018-06-14 17:18:01.978046,0.4,4.0004000400040005e-05,3,51,6,823827,False
288,2018-06-14 17:18:03.406955,0.1,1.0001000100010001e-05,6,35,4,51523,True
289,2018-06-14 17:18:04.780087,0.04,4.004004004004004e-05,8,22,5,4961,True
290,2018-06-14 17:18:06.215310,0.1,1.0001000100010001e-05,7,46,4,35813,True
291,2018-06-14 17:18:07.994929,0.4,4.0004000400040005e-05,3,10,12,404570,True
292,2018-06-14 17:18:09.736492,0.4,4.0004000400040005e-05,3,10,10,224666,False
293,2018-06-14 17:18:11.169301,0.1,1.0001000100010001e-05,7,1,8,70457,False
294,2018-06-14 17:18:12.539026,0.04,4.004004004004004e-05,9,24,6,3304,False
295,2018-06-14 17:18:14.296303,0.4,4.0004000400040005e-05,3,28,7,816754,False
296,2018-06-14 17:18:15.667277,0.04,4.004004004004004e-05,8,22,11,8186,True
297,2018-06-14 17:18:17.105660,0.1,1.0001000100010001e-05,7,35,9,54455,True
298,2018-06-14 17:18:18.474955,0.04,4.004004004004004e-05,9,16,8,5913,False
299,2018-06-14 17:18:19.916379,0.1,1.0001000100010001e-05,6,5,11,11509,False
300,2018-06-14 17:18:21.286314,0.04,4.004004004004004e-05,9,0,2,1069,True
301,2018-06-14 17:18:22.727684,0.1,1.0001000100010001e-05,6,36,7,130375,False
302,2018-06-14 17:18:24.102496,0.04,4.004004004004004e-05,8,22,4,2642,True
303,2018-06-14 17:18:25.422983,0.04,4.004004004004004e-05,9,46,2,904,False
304,2018-06-14 17:18:26.866224,0.1,1.0001000100010001e-05,5,45,4,114226,True
305,2018-06-14 17:18:28.299042,0.1,1.0001000100010001e-05,6,37,4,43904,True
306,2018-06-14 17:18:31.667795,1.0,1.000010000100001e-05,1,18,4,627626,False
307,2018-06-14 17:18:33.218455,0.2,2.0002000200020003e-05,3,3,4,314975,True
308,2018-06-14 17:18:34.748323,0.2,2.0002000200020003e-05,4,36,11,364156,True
