sample,time,window,precision,modulation,band,payload,measured
227,2018-06-07 10:55:35.909458,0.002,2.000020000200002e-08,7,46,254,0.0005278252782527826
228,2018-06-07 10:55:36.773076,0.002,2.000020000200002e-08,9,4,254,0.0004836648366483665
229,2018-06-07 10:55:37.634229,0.002,2.000020000200002e-08,0,8,254,0.0005268452684526845
230,2018-06-07 10:55:38.496107,0.002,2.000020000200002e-08,7,6,254,0.0005303053030530306
231,2018-06-07 10:55:39.407898,0.002,2.000020000200002e-08,3,22,254,0.0005270252702527026
232,2018-06-07 10:55:40.272407,0.002,2.000020000200002e-08,1,27,254,0.0005306453064530646
233,2018-06-07 10:55:41.145401,0.002,2.000020000200002e-08,9,36,254,0.00048700487004870054
234,2018-06-07 10:55:42.016880,0.002,2.000020000200002e-08,3,4,254,0.0005268852688526885
235,2018-06-07 10:55:42.903147,0.002,2.000020000200002e-08,8,2,254,0.0004846848468484685
236,2018-06-07 10:55:43.775755,0.002,2.000020000200002e-08,4,24,254,0.0005291652916529166
237,2018-06-07 10:55:44.638825,0.002,2.000020000200002e-08,5,49,254,0.0005285052850528505
238,2018-06-07 10:55:45.513173,0.002,2.000020000200002e-08,7,17,254,0.0005268652686526865
239,2018-06-07 10:55:46.382575,0.002,2.000020000200002e-08,0,42,254,0.0005269252692526925
240,2018-06-07 10:55:47.246018,0.002,2.000020000200002e-08,3,24,254,0.0005260052600526006
241,2018-06-07 10:55:48.124593,0.002,2.000020000200002e-08,9,46,254,0.00048520485204852054
242,2018-06-07 10:55:49.035106,0.002,2.000020000200002e-08,3,11,254,0.0005305853058530586
243,2018-06-07 10:55:49.896178,0.002,2.000020000200002e-08,9,19,254,0.0004861048610486105
244,2018-06-07 10:55:50.810772,0.002,2.000020000200002e-08,4,49,254,0.0005320053200532005
245,2018-06-07 10:55:51.675340,0.002,2.000020000200002e-08,1,21,254,0.0005278052780527806
246,2018-06-07 10:55:52.548020,0.002,2.000020000200002e-08,1,47,254,0.0005382653826538266
247,2018-06-07 10:55:53.411160,0.002,2.000020000200002e-08,6,33,254,0.0005268052680526805
248,2018-06-07 10:55:54.277030,0.002,2.000020000200002e-08,4,27,254,0.0005253252532525325
249,2018-06-07 10:55:55.149277,0.002,2.000020000200002e-08,2,9,254,0.0005269252692526925
250,2018-06-07 10:55:56.060006,0.002,2.000020000200002e-08,7,7,254,0.0005268252682526825
251,2018-06-07 10:55:56.924226,0.002,2.000020000200002e-08,8,51,254,0.00048438484384843853
252,2018-06-07 10:55:57.787746,0.002,2.000020000200002e-08,5,20,254,0.0005279252792527926
253,2018-06-07 10:55:58.637480,0.002,2.000020000200002e-08,9,20,254,0.0004895648956489565
254,2018-06-07 10:55:59.528973,0.002,2.000020000200002e-08,8,39,254,0.0004862648626486265
255,2018-06-07 10:56:00.393568,0.002,2.000020000200002e-08,9,6,254,0.0004862848628486285
256,2018-06-07 10:56:01.258689,0.002,2.000020000200002e-08,6,19,254,0.0005260452604526045
