sample,time,window,precision,modulation,band,delay,sleep,wakeup
232,2018-06-07 10:03:15.130464,0.4,4.000040000400005e-06,7,11,0.031227161309337448,1.600016000160002e-05,0.00048400484004840053
233,2018-06-07 10:03:16.487544,0.4,4.000040000400005e-06,2,7,0.03189816870608937,1.600016000160002e-05,0.0005120051200512006
234,2018-06-07 10:03:17.981838,0.4,4.000040000400005e-06,5,40,0.005573880543837718,1.600016000160002e-05,0.0004800048000480005
235,2018-06-07 10:03:19.391638,0.4,4.000040000400005e-06,1,0,0.06404021195562437,1.600016000160002e-05,0.0005160051600516006
236,2018-06-07 10:03:20.753414,0.4,4.000040000400005e-06,6,22,0.028916290438695393,1.600016000160002e-05,0.0004920049200492005
237,2018-06-07 10:03:22.261707,0.4,4.000040000400005e-06,1,24,0.19466814197327978,1.2000120001200014e-05,0.0004800048000480005
238,2018-06-07 10:03:23.673884,0.4,4.000040000400005e-06,7,2,0.05922830001444834,1.600016000160002e-05,0.0005160051600516006
239,2018-06-07 10:03:25.051476,0.4,4.000040000400005e-06,6,21,0.13575445111159984,1.600016000160002e-05,0.00048800488004880054
240,2018-06-07 10:03:26.468054,0.4,4.000040000400005e-06,0,11,0.13910279841353773,1.2000120001200014e-05,0.00048400484004840053
241,2018-06-07 10:03:27.865622,0.4,4.000040000400005e-06,5,7,0.02133645239543447,1.600016000160002e-05,0.0005160051600516006
242,2018-06-07 10:03:29.269850,0.4,4.000040000400005e-06,2,37,0.05095659980744545,1.600016000160002e-05,0.0004800048000480005
243,2018-06-07 10:03:30.677262,0.4,4.000040000400005e-06,0,47,0.05775071662716516,1.2000120001200014e-05,0.0004800048000480005
244,2018-06-07 10:03:32.082264,0.4,4.000040000400005e-06,4,5,0.16714660921904634,1.600016000160002e-05,0.0005160051600516006
245,2018-06-07 10:03:33.497846,0.4,4.000040000400005e-06,0,45,0.07368817739951705,1.600016000160002e-05,0.00048400484004840053
246,2018-06-07 10:03:34.900007,0.4,4.000040000400005e-06,3,50,0.05766951060185188,1.600016000160002e-05,0.00048400484004840053
247,2018-06-07 10:03:36.428616,0.4,4.000040000400005e-06,5,14,0.1560357754605067,1.600016000160002e-05,0.00048400484004840053
248,2018-06-07 10:03:37.912433,0.4,4.000040000400005e-06,0,50,0.049627948319566545,1.2000120001200014e-05,0.00048800488004880054
249,2018-06-07 10:03:39.277840,0.4,4.000040000400005e-06,2,1,0.1432955127387307,1.600016000160002e-05,0.0005160051600516006
250,2018-06-07 10:03:40.677398,0.4,4.000040000400005e-06,6,32,0.051843093449947086,2.0000200002000023e-05,0.00048400484004840053
251,2018-06-07 10:03:42.122618,0.4,4.000040000400005e-06,1,9,0.016478507854901594,2.0000200002000023e-05,0.00048400484004840053
