sample,time,window,precision,modulation,band,cad2rf,cad2done,detected
212,2018-06-06 19:48:19.352352,0.2,4.0000008000001605e-08,0,27,8.500001700000341e-05,0.15885151177030238,False
213,2018-06-06 19:48:22.090030,0.04,4.000004000004e-08,3,51,8.5000085000085e-05,0.01920689920689921,True
214,2018-06-06 19:48:32.532352,0.2,4.0000008000001605e-08,0,49,8.504001700800342e-05,0.15885155177031038,False
215,2018-06-06 19:48:33.684049,0.002,2.000020000200002e-08,7,12,8.500085000850009e-05,0.0012636326363263633,True
216,2018-06-06 19:48:34.778325,0.004,4.000040000400004e-08,6,25,8.504085040850409e-05,0.0024223842238422387,False
217,2018-06-06 19:48:37.430033,0.02,2.000002000002e-08,4,10,8.498008498008498e-05,0.009541969541969543,False
218,2018-06-06 19:48:39.960415,0.04,4.000004000004e-08,3,15,8.492008492008493e-05,0.01920713920713921,True
219,2018-06-06 19:48:42.508821,0.02,2.000002000002e-08,4,23,8.5000085000085e-05,0.009541729541729542,False
220,2018-06-06 19:48:45.129196,0.01,1.000001000001e-08,5,38,8.494008494008495e-05,0.004775534775534776,True
221,2018-06-06 19:48:47.621393,0.01,1.000001000001e-08,5,21,8.496008496008496e-05,0.004775564775564776,True
222,2018-06-06 19:48:57.514383,0.1,2.0000004000000802e-08,2,30,8.49800169960034e-05,0.038788627757725555,False
223,2018-06-06 19:49:00.290077,0.04,4.000004000004e-08,3,24,8.496008496008496e-05,0.019205059205059206,False
224,2018-06-06 19:49:01.416903,0.002,2.000020000200002e-08,7,49,8.49808498084981e-05,0.0012633726337263373,True
225,2018-06-06 19:49:11.785117,0.2,4.0000008000001605e-08,0,41,8.496001699200341e-05,0.15885175177035038,False
226,2018-06-06 19:49:14.401656,0.02,2.000002000002e-08,4,43,8.498008498008498e-05,0.009541409541409543,False
227,2018-06-06 19:49:24.390286,0.1,2.0000004000000802e-08,1,30,8.502001700400341e-05,0.07846827569365515,False
228,2018-06-06 19:49:34.645560,0.2,4.0000008000001605e-08,0,49,8.504001700800342e-05,0.15885383177076637,True
229,2018-06-06 19:49:35.795364,0.002,2.000020000200002e-08,7,6,8.500085000850009e-05,0.0012636326363263633,True
230,2018-06-06 19:49:45.845700,0.2,4.0000008000001605e-08,0,32,8.504001700800342e-05,0.15885187177037438,False
231,2018-06-06 19:49:56.207218,0.1,2.0000004000000802e-08,1,9,8.506001701200341e-05,0.07846831569366315,False
232,2018-06-06 19:49:58.993138,0.04,4.000004000004e-08,3,36,8.5000085000085e-05,0.019206939206939208,True
